Difference,Predicted,Test Data
-209,2009,1800
-294,1213,918
551,1348,1900
202,2597,2799
564,1735,2300
52,2047,2100
1843,2656,4500
-661,2461,1800
2697,2302,5000
-922,1623,701
2608,2391,5000
-373,1185,812
-184,1176,991
-379,1208,829
-499,1449,950
36,1263,1300
20,1279,1300
-1213,2213,999
-316,1416,1099
-145,1145,999
-578,1383,805
-917,1703,786
-586,1362,776
-289,1234,945
-434,1198,764
-1224,2524,1300
-386,1346,960
-1075,1972,896
-646,1846,1200
-767,2267,1500
1406,1793,3200
-267,1209,942
-496,1240,743
-231,1331,1099
2638,1561,4200
-1027,2527,1500
8421,1978,10400
-377,2377,1999
-794,1493,698
-51,1351,1300
455,2044,2499
-18,1518,1500
-182,1582,1399
-315,2215,1900
-470,2370,1900
14272,2627,16899
-857,1629,772
-1453,2753,1300
-135,2435,2300
-904,1363,459
204,1295,1500
-606,1492,886
-1046,2046,999
-1151,2451,1300
-495,2895,2400
2429,2570,5000
-303,2003,1699
-2063,2901,837
-820,2020,1200
268,2331,2600
-2771,3720,949
-430,2030,1599
8770,1729,10499
1168,2931,4099
-492,1792,1300
-386,1686,1300
-1443,2282,838
-739,1707,967
-1713,2676,963
-1234,1849,614
-794,1894,1099
348,2351,2699
-839,1716,877
152,2147,2300
-651,1951,1300
-476,1576,1099
525,1574,2100
-854,2054,1200
-387,1587,1200
-738,1737,999
-1386,1525,138
-1355,2655,1300
312,2587,2900
-823,1823,999
-784,2484,1699
2828,3371,6199
-954,2154,1200
1933,1566,3499
507,2692,3200
4112,1587,5699
-1567,3167,1599
-113,1413,1300
4407,4492,8900
-1082,2182,1099
5093,2506,7600
-1658,2758,1099
3071,2828,5899
-664,2464,1800
-462,1462,999
-411,1611,1200
-423,1923,1500
-752,1952,1200
-494,1694,1200
-1097,1670,573
305,1794,2100
-1356,2016,659
2383,1816,4200
261,1538,1800
-967,2967,1999
-272,1572,1300
-330,1530,1200
-2135,3935,1800
-151,1113,962
1035,1364,2400
-125,1225,1099
-119,1319,1200
8,1391,1399
734,2965,3699
1271,1828,3099
-13,1313,1300
1422,1877,3300
-61,1361,1300
-122,1222,1099
6833,2366,9200
360,1539,1900
1635,1664,3300
-525,2025,1500
7,1092,1099
440,1959,2400
231,1168,1399
1410,1589,2999
3740,2259,5999
-51,1151,1099
3597,1502,5100
1946,1253,3200
-302,1302,999
521,2078,2600
1540,1759,3300
-116,2316,2199
451,1448,1900
-299,1399,1099
-13,1113,1099
-2091,3191,1099
-106,1106,999
-310,1132,821
-328,1169,841
-401,1280,878
-559,1499,940
-520,994,474
566,1833,2400
-204,1804,1599
-968,1726,758
-122,1422,1300
212,2487,2699
1066,1933,2999
4651,1748,6399
6117,2382,8500
726,1173,1900
-1139,2139,999
-527,1527,999
157,1742,1900
-767,1336,569
-695,1630,935
-379,1579,1200
2085,3414,5499
454,1145,1599
-116,1216,1099
-372,1157,784
-160,1142,981
-260,1660,1399
4968,2031,6999
-210,1310,1099
-559,1250,691
-1034,2034,999
-324,982,658
-725,1825,1099
-798,2098,1300
3452,1647,5100
-322,1245,922
-560,1760,1200
485,1214,1699
-471,1218,747
-575,1154,579
2855,1544,4400
-665,1865,1200
-148,1348,1200
1010,1689,2699
-491,1212,721
-1212,1322,110
-668,1529,860
1194,1705,2900
6945,4154,11099
-344,1444,1099
-482,1482,999
511,1588,2100
36,1163,1200
417,1782,2199
-284,2184,1900
-874,2074,1200
-730,1676,945
-490,1490,999
14786,1313,16100
-362,1153,791
-876,1797,921
1074,1525,2600
-754,2054,1300
2214,1285,3499
-1736,2362,625
-612,1367,755
3215,1384,4600
152,1947,2100
-128,1328,1200
-243,1101,858
-475,1282,807
-549,1136,587
-492,1492,999
-256,2056,1800
-1466,2299,833
-995,1794,799
17600,1699,19300
-763,1224,461
-896,1403,507
-555,1655,1099
-662,1258,596
-255,1455,1200
17826,2373,20199
-669,1609,940
-1046,1675,629
295,1504,1800
-267,3467,3200
3820,1779,5600
205,2394,2600
-801,1450,649
1550,1549,3099
-446,1356,909
-1659,2148,489
-969,1636,666
-1700,2316,615
3436,1063,4500
3932,1167,5100
-524,2424,1900
-415,1346,931
-264,1264,999
321,1578,1900
-435,1261,825
-457,1130,673
-530,1930,1399
-480,1880,1399
231,1468,1699
2211,2488,4699
-829,1828,999
-846,1205,358
-334,1244,909
-633,1352,719
17987,1412,19400
-100,1300,1200
-857,1852,995
-1008,1898,890
-221,1321,1099
-1680,2627,947
322,1177,1500
-805,1476,671
-745,2145,1399
-856,1671,815
-549,1849,1300
3803,1196,5000
-521,1221,699
-926,1556,630
914,1585,2499
-206,1306,1099
-91,1191,1099
1576,1023,2600
-868,1450,582
-1546,2241,694
-253,1022,769
-260,1192,931
-1594,2223,629
-350,1550,1200
1227,1172,2400
-331,1148,817
-297,1182,884
-770,1641,871
4683,2216,6899
1097,2102,3200
354,2445,2799
15553,1646,17200
257,1642,1900
16,1883,1900
26,1673,1699
-124,1724,1599
49,1750,1800
-636,1636,999
-95,1595,1500
-969,1730,761
-1088,1645,557
-1265,1701,435
1972,1627,3599
5752,1247,6999
-228,1118,890
-659,1314,654
-751,1468,716
-969,1800,831
-123,1123,999
786,2513,3300
-538,1195,656
-43,1143,1099
-794,1513,719
-619,1329,710
-183,1483,1300
-862,1491,629
-973,1732,759
29,1470,1500
-762,1762,999
-300,2400,2100
-978,1676,698
-638,1738,1099
842,1657,2499
-87,1287,1200
65,1934,1999
-680,1780,1099
495,1504,1999
546,2153,2699
-731,1710,978
-567,1188,621
-999,1738,738
2460,1239,3699
-272,1272,999
-536,1636,1099
-335,1335,999
-726,1415,689
-260,1560,1300
9843,2156,11999
-741,1437,696
363,1636,1999
-251,1117,865
9605,3194,12799
1801,1698,3499
-355,1298,943
-383,1229,845
-9,2209,2199
-901,1680,779
-387,1687,1300
-177,1577,1399
7085,2414,9499
-690,1325,635
-488,1407,918
6811,1288,8099
-1297,2997,1699
6536,1563,8099
685,1814,2499
-135,2735,2600
55,1444,1500
-121,1521,1399
12359,1940,14300
6284,1815,8099
624,1875,2499
-887,1300,413
-1302,2278,975
-886,1641,755
-560,1249,689
-69,1469,1399
-219,1319,1099
-154,1254,1099
11362,3237,14600
-1037,1658,621
-233,1179,945
-196,1296,1099
-1007,1682,675
-894,1782,888
-417,1717,1300
-793,1610,817
-666,1294,627
-1048,1878,829
-447,2647,2199
467,1332,1800
-128,1128,999
-659,1859,1200
-860,1733,872
-351,1351,999
4604,1295,5899
1466,1933,3399
-365,1253,888
-1284,2144,859
149,2550,2699
-109,1309,1200
-1106,1515,409
1717,1582,3300
441,1258,1699
-59,2459,2400
-784,1335,551
-595,1895,1300
-523,1511,988
-240,1064,824
84,1115,1200
2473,1626,4099
6041,2158,8199
-27,1127,1099
-426,1156,730
830,1669,2499
-311,1268,957
-1230,2430,1200
375,1324,1699
-917,1725,807
-677,1435,758
2853,1446,4300
-545,1180,635
1431,2568,3999
1595,1304,2900
-1298,2398,1099
-1695,2362,666
-549,1448,898
4681,1918,6600
-334,1256,922
420,1379,1800
-191,1291,1099
-724,1924,1200
769,2130,2900
-538,1738,1200
2206,2393,4600
-295,1395,1099
907,1592,2499
-652,1652,999
-86,1386,1300
-583,1527,943
-525,1463,937
-114,1914,1800
-821,1745,923
480,2119,2600
1033,2666,3699
-403,1359,955
-308,1250,942
-1251,2069,817
109,1490,1599
-378,1301,922
-885,2085,1200
-988,1808,819
-966,1778,812
-665,1209,543
-1051,1878,826
-1161,1538,377
9216,1683,10900
-412,1512,1099
417,1582,1999
-10,2910,2900
-1070,2170,1099
-98,1298,1200
46,1353,1399
-525,1369,844
-756,1956,1200
1584,1715,3300
1792,1907,3699
-1358,1779,420
2183,2316,4500
86,1513,1599
-775,1532,756
49,1350,1399
13244,1755,15000
-604,1271,666
133,1366,1500
-820,2120,1300
-130,2130,1999
-369,1569,1200
5741,2458,8199
-99,1599,1500
9112,1787,10900
-725,2625,1900
1048,2551,3599
-1239,2639,1399
-971,1945,974
4314,3285,7600
-422,2522,2100
17752,1647,19400
-291,1591,1300
-1105,2405,1300
-59,2159,2100
270,2129,2400
-135,2635,2499
-615,2115,1500
1595,3204,4800
-1200,2500,1300
-1367,1550,183
-334,1534,1200
-645,1624,978
-923,2823,1900
-753,2353,1599
-1088,2288,1200
1176,2323,3499
-1528,2628,1099
-1499,1614,115
-505,1505,999
-852,1580,728
-398,1498,1099
-892,1814,922
5151,1648,6799
-243,1443,1200
5576,1523,7099
324,1975,2300
-1059,2059,999
6760,2539,9300
1335,2264,3599
