Difference,Predicted,Test Data
32,1832,1799
17,936,919
270,2170,1899
402,3202,2800
-386,1913,2300
-236,1863,2099
218,4718,4499
-307,1492,1799
-3913,1086,4999
-137,563,700
77,5077,4999
-45,766,812
99,1091,991
37,866,828
181,1131,949
-69,1230,1300
-154,1145,1300
-103,896,1000
3213,4312,1099
-651,348,1000
501,1306,805
1462,2248,785
-322,453,776
-231,713,945
0,763,763
-177,1122,1300
110,1070,960
109,1006,897
166,1366,1199
75,1575,1500
-27,3172,3199
-158,783,942
-15,728,743
4339,5439,1099
-704,3495,4199
-170,1329,1500
-4062,6337,10400
-133,1866,2000
601,1300,699
-347,952,1300
321,2821,2499
-226,1273,1500
-23,1376,1400
-177,1722,1899
-46,1853,1899
-4865,12034,16900
1746,2518,771
-217,1082,1300
-1089,1210,2300
29,488,458
-95,1404,1500
1089,1975,886
192,1192,1000
114,1414,1300
-92,2307,2399
-730,4269,4999
-147,1552,1700
-31,806,837
-75,1124,1199
-127,2472,2599
4880,5829,949
340,1940,1599
-9649,850,10500
-1995,2104,4100
53,1353,1300
-84,1215,1300
-82,756,839
23,991,967
-117,845,962
409,1024,615
-75,1024,1099
-246,2453,2700
52,929,877
-58,2241,2300
-110,1189,1300
-112,987,1099
-206,1893,2099
-1,1198,1199
-57,1142,1199
134,1133,999
1249,1388,138
435,1735,1300
-591,2308,2900
41,1041,1000
824,2524,1700
-134,6065,6200
119,1319,1199
-1328,2171,3500
-118,3081,3199
-1146,4553,5700
301,1901,1599
-222,1077,1300
-911,7988,8900
-51,1048,1099
-2471,5128,7600
-45,1054,1099
-136,5763,5900
-193,1606,1799
-61,938,1000
-491,708,1199
123,1623,1500
-163,1036,1199
8,1208,1199
32,605,572
-2,2097,2099
-33,626,660
-1173,3026,4199
96,1896,1799
285,2285,2000
239,1539,1300
-102,1097,1199
95,1895,1799
-69,892,962
-833,1566,2399
76,1176,1099
-250,949,1199
-354,1045,1400
-754,2945,3700
-2255,844,3099
381,1681,1300
-380,2919,3300
-252,1047,1300
-283,816,1099
-2269,6930,9199
-594,1305,1899
165,3465,3300
130,1630,1500
-205,894,1099
-192,2207,2399
-246,1153,1400
258,3258,3000
-1057,4942,5999
-127,972,1099
-445,4654,5099
-94,3105,3199
281,1281,1000
-116,2483,2599
267,3567,3300
-124,2075,2199
-1225,674,1899
-83,1016,1099
-110,989,1099
-27,1072,1099
-318,681,1000
124,946,822
-118,722,841
188,1067,878
121,1061,940
84,558,474
-146,2253,2399
9,1609,1599
210,968,757
223,1523,1300
172,2872,2700
-626,2373,3000
-801,5598,6399
-2452,6047,8500
-223,1676,1899
-37,962,1000
424,1424,1000
466,2366,1899
107,676,569
496,1431,935
-21,1178,1199
-667,4832,5499
291,1891,1599
74,1174,1099
188,973,785
-89,892,981
-2,1397,1400
-544,6455,7000
109,1209,1099
39,730,691
-5,994,1000
-81,576,658
82,1182,1099
120,1420,1300
264,5364,5099
-84,838,922
-12,1187,1199
798,2498,1700
826,1573,747
67,646,578
227,4627,4400
75,1275,1199
23,1223,1199
-1244,1455,2700
496,1217,720
110,220,109
38,899,861
-1803,1096,2900
-4862,6237,11100
266,1366,1099
-111,888,1000
540,2640,2099
-45,1154,1199
465,2665,2199
382,2282,1899
137,1337,1199
-14,931,946
234,1234,1000
-8145,7954,16100
1648,2439,790
95,1016,921
-934,1665,2599
204,1504,1300
-36,3463,3500
2183,2809,625
150,905,755
-724,3875,4599
-443,1656,2099
-205,994,1199
-89,768,857
1262,2069,806
632,1219,587
188,1188,1000
-73,1726,1799
220,1053,832
210,1009,798
-10468,8831,19300
127,588,460
-119,387,507
-27,1072,1099
16,612,596
71,1271,1199
-920,19279,20199
64,1004,940
-108,520,629
298,2098,1799
-539,2660,3199
-706,4893,5599
-464,2135,2599
15,664,648
-257,2842,3099
-8,901,909
2778,3267,489
44,711,667
863,1479,616
-835,3664,4499
-570,4529,5099
-661,1238,1899
806,1737,931
298,1298,1000
-198,1701,1899
-68,757,826
247,920,673
71,1471,1400
227,1627,1400
-696,1003,1700
-173,4526,4700
-218,780,999
2998,3357,359
93,1003,909
96,815,718
-789,18610,19400
153,1353,1199
-157,837,995
289,1179,890
-286,813,1099
247,1194,947
140,1640,1500
80,751,671
0,1400,1400
-189,625,814
13,1313,1300
-76,4923,4999
-24,675,700
-43,586,630
-335,2164,2499
1744,2844,1099
-49,1050,1099
276,2876,2599
-12,569,582
140,835,694
-135,633,768
36,968,932
52,681,629
-196,1003,1199
-309,2090,2399
-44,772,817
46,931,885
-128,742,871
-1198,5701,6899
1728,4928,3199
-586,2213,2800
-2651,14548,17199
251,2151,1899
