Difference,Predicted,Test Data
93,1706,1800
-311,1230,918
541,1358,1900
81,2718,2799
-409,2709,2300
-339,2439,2100
1849,2650,4500
-986,2786,1800
2996,2003,5000
-1207,1908,701
2698,2301,5000
-366,1178,812
18,973,991
-303,1132,829
-768,1718,950
-368,1668,1300
118,1181,1300
-2449,3449,999
-1335,2435,1099
-549,1549,999
-569,1374,805
-1017,1803,786
-1302,2078,776
-306,1251,945
-236,1000,764
-1216,2516,1300
-387,1347,960
-617,1514,896
-1239,2439,1200
-1217,2717,1500
1434,1765,3200
-107,1049,942
-126,870,743
-142,1242,1099
2621,1578,4200
-1362,2862,1500
8704,1695,10400
-425,2425,1999
-251,950,698
-274,1574,1300
-122,2622,2499
-248,1748,1500
50,1349,1399
-750,2650,1900
252,1647,1900
13717,3182,16899
-514,1286,772
-2343,3643,1300
43,2256,2300
-549,1008,459
396,1103,1500
-199,1085,886
-1025,2025,999
-811,2111,1300
-273,2673,2400
2799,2200,5000
-225,1925,1699
-1323,2161,837
-457,1657,1200
755,1844,2600
-1535,2484,949
116,1483,1599
9088,1411,10499
654,3445,4099
-981,2281,1300
-252,1552,1300
-848,1687,838
-746,1714,967
-3049,4012,963
-1101,1716,614
-299,1399,1099
590,2109,2699
-513,1390,877
800,1499,2300
-633,1933,1300
-224,1324,1099
589,1510,2100
-427,1627,1200
-1120,2320,1200
-437,1436,999
-1555,1694,138
-939,2239,1300
-421,3321,2900
-1126,2126,999
-1288,2988,1699
2814,3385,6199
-445,1645,1200
1799,1700,3499
1254,1945,3200
3425,2274,5699
-697,2297,1599
-359,1659,1300
5317,3582,8900
-1183,2283,1099
5188,2411,7600
-1965,3065,1099
3085,2814,5899
-641,2441,1800
-202,1202,999
-6,1206,1200
-159,1659,1500
-1046,2246,1200
-481,1681,1200
-675,1248,573
-233,2333,2100
-1280,1940,659
1511,2688,4200
-565,2365,1800
-434,2434,1999
-755,2055,1300
38,1161,1200
-407,2207,1800
16,945,962
1007,1392,2400
-45,1145,1099
-114,1314,1200
-148,1548,1399
496,3203,3699
1510,1589,3099
-8,1308,1300
476,2823,3300
6,1293,1300
71,1028,1099
6199,3000,9200
627,1272,1900
1576,1723,3300
-1382,2882,1500
-43,1143,1099
259,2140,2400
-91,1491,1399
1149,1850,2999
3025,2974,5999
35,1064,1099
3467,1632,5100
1631,1568,3200
-277,1277,999
174,2425,2600
600,2699,3300
-638,2838,2199
507,1392,1900
74,1025,1099
-251,1351,1099
-1860,2960,1099
-16,1016,999
-282,1104,821
-63,904,841
-72,951,878
-891,1831,940
-406,880,474
500,1899,2400
-556,2156,1599
-1092,1850,758
-434,1734,1300
-125,2825,2699
86,2913,2999
4048,2351,6399
4917,3582,8500
806,1093,1900
-1256,2256,999
-574,1574,999
603,1296,1900
-495,1064,569
-1694,2629,935
-428,1628,1200
3413,2086,5499
213,1386,1599
102,997,1099
-344,1129,784
-2,984,981
-1432,2832,1399
4714,2285,6999
19,1080,1099
-772,1463,691
-767,1767,999
-629,1287,658
-693,1793,1099
-581,1881,1300
2845,2254,5100
-361,1284,922
-682,1882,1200
497,1202,1699
-272,1019,747
-908,1487,579
2623,1776,4400
-740,1940,1200
-968,2168,1200
1300,1399,2699
-443,1164,721
-1631,1741,110
-2151,3012,860
414,2485,2900
7588,3511,11099
-789,1889,1099
-697,1697,999
-170,2270,2100
29,1170,1200
630,1569,2199
-636,2536,1900
-364,1564,1200
-970,1916,945
-1113,2113,999
14618,1481,16100
-260,1051,791
-656,1577,921
1099,1500,2600
-586,1886,1300
2038,1461,3499
-1797,2423,625
-574,1329,755
2957,1642,4600
-71,2171,2100
119,1080,1200
-131,989,858
-506,1313,807
-356,943,587
-198,1198,999
323,1476,1800
-1920,2753,833
-696,1495,799
18152,1147,19300
-834,1295,461
-546,1053,507
-833,1933,1099
-372,968,596
-692,1892,1200
18384,1815,20199
-220,1160,940
-531,1160,629
354,1445,1800
-66,3266,3200
3802,1797,5600
-363,2963,2600
-613,1262,649
1414,1685,3099
-1622,2532,909
-1800,2289,489
-1034,1701,666
-1650,2266,615
3295,1204,4500
3541,1558,5100
-107,2007,1900
-113,1044,931
123,876,999
-257,2157,1900
