Difference,Predicted,Test Data
-324,2124,1800
-141,1060,918
621,1278,1900
127,2672,2799
-54,2354,2300
-183,2283,2100
1399,3100,4500
197,1602,1800
2867,2132,5000
-941,1642,701
2765,2234,5000
-305,1117,812
-145,1137,991
-348,1177,829
-477,1427,950
-437,1737,1300
-125,1425,1300
-1645,2645,999
-1069,2169,1099
-493,1493,999
-1043,1848,805
-649,1435,786
-1022,1798,776
-237,1182,945
-276,1040,764
-1216,2516,1300
-179,1139,960
-1060,1957,896
-958,2158,1200
-897,2397,1500
1329,1870,3200
-115,1057,942
-186,930,743
-199,1299,1099
2732,1467,4200
-1413,2913,1500
8555,1844,10400
-243,2243,1999
-437,1136,698
-397,1697,1300
-718,3218,2499
81,1418,1500
-5,1405,1399
-630,2530,1900
-242,2142,1900
13657,3242,16899
-731,1503,772
-1312,2612,1300
-81,2381,2300
-572,1031,459
243,1256,1500
-155,1041,886
-1178,2178,999
-1059,2359,1300
-398,2798,2400
2610,2389,5000
-266,1966,1699
-2068,2906,837
-96,1296,1200
576,2023,2600
-2416,3365,949
466,1133,1599
9028,1471,10499
383,3716,4099
-470,1770,1300
-208,1508,1300
-739,1578,838
-444,1412,967
-2746,3709,963
-801,1416,614
-322,1422,1099
278,2421,2699
-613,1490,877
490,1809,2300
-385,1685,1300
-218,1318,1099
687,1412,2100
-87,1287,1200
-338,1538,1200
-313,1312,999
-1631,1770,138
-1043,2343,1300
-1969,4869,2900
-499,1499,999
-1168,2868,1699
1950,4249,6199
-515,1715,1200
1552,1947,3499
717,2482,3200
4135,1564,5699
-2186,3786,1599
-221,1521,1300
2797,6102,8900
-921,2021,1099
4353,3246,7600
-1858,2958,1099
2273,3626,5899
-1824,3624,1800
-173,1173,999
121,1078,1200
-261,1761,1500
-993,2193,1200
-240,1440,1200
-579,1152,573
590,1509,2100
-1142,1802,659
2047,2152,4200
187,1612,1800
-950,2950,1999
-161,1461,1300
123,1076,1200
-475,2275,1800
3,958,962
1172,1227,2400
13,1086,1099
-218,1418,1200
-309,1709,1399
943,2756,3699
1670,1429,3099
-20,1320,1300
640,2659,3300
25,1274,1300
26,1073,1099
6834,2365,9200
294,1605,1900
1421,1878,3300
-1394,2894,1500
-82,1182,1099
529,1870,2400
57,1342,1399
1328,1671,2999
3410,2589,5999
-134,1234,1099
3686,1413,5100
2156,1043,3200
-106,1106,999
256,2343,2600
795,2504,3300
-875,3075,2199
508,1391,1900
-35,1135,1099
-293,1393,1099
-1773,2873,1099
165,834,999
-311,1133,821
-100,941,841
-92,971,878
-577,1517,940
-334,808,474
417,1982,2400
-566,2166,1599
-1304,2062,758
-579,1879,1300
-790,3490,2699
590,2409,2999
4382,2017,6399
5624,2875,8500
914,985,1900
-1080,2080,999
-542,1542,999
559,1340,1900
-306,875,569
-1142,2077,935
-461,1661,1200
3820,1679,5499
137,1462,1599
101,998,1099
-475,1260,784
5,976,981
-230,1630,1399
4708,2291,6999
206,893,1099
-564,1255,691
-1697,2697,999
-469,1127,658
-1219,2319,1099
-754,2054,1300
3362,1737,5100
-224,1147,922
-630,1830,1200
661,1038,1699
-180,927,747
-628,1207,579
3149,1250,4400
-735,1935,1200
-273,1473,1200
1374,1325,2699
-238,959,721
-1409,1519,110
-1341,2202,860
897,2002,2900
629,10470,11099
-492,1592,1099
-940,1940,999
30,2069,2100
216,983,1200
539,1660,2199
-213,2113,1900
-490,1690,1200
-930,1876,945
-1114,2114,999
14559,1540,16100
-367,1158,791
-884,1805,921
1125,1474,2600
-754,2054,1300
2089,1410,3499
-3021,3647,625
-736,1491,755
3060,1539,4600
300,1799,2100
-35,1235,1200
-60,918,858
-334,1141,807
-416,1003,587
-361,1361,999
138,1661,1800
-2037,2870,833
-873,1672,799
17658,1641,19300
-1030,1491,461
-451,958,507
-809,1909,1099
-291,887,596
-399,1599,1200
18068,2131,20199
-311,1251,940
-615,1244,629
394,1405,1800
791,2408,3200
3811,1788,5600
107,2492,2600
-447,1096,649
1368,1731,3099
-788,1698,909
-1809,2298,489
-1451,2118,666
-1144,1760,615
3199,1300,4500
3831,1268,5100
-172,2072,1900
-249,1180,931
24,975,999
305,1594,1900
-257,1083,825
-286,959,673
-1158,2558,1399
-1595,2995,1399
259,1440,1699
2081,2618,4699
-514,1513,999
-887,1246,358
-180,1090,909
-852,1571,719
18004,1395,19400
-45,1245,1200
-73,1068,995
-1158,2048,890
-309,1409,1099
-1102,2049,947
337,1162,1500
-388,1059,671
-354,1754,1399
-1351,2166,815
-462,1762,1300
3877,1122,5000
-300,1000,699
-854,1484,630
397,2102,2499
-476,1576,1099
55,1044,1099
1648,951,2600
-470,1052,582
-1145,1840,694
-218,987,769
-70,1002,931
-1828,2457,629
-113,1313,1200
1299,1100,2400
-657,1474,817
29,855,884
-911,1782,871
3821,3078,6899
864,2335,3200
-15,2815,2799
15285,1914,17200
85,1814,1900
-187,2087,1900
-258,1958,1699
-199,1799,1599
-333,2133,1800
-599,1599,999
58,1441,1500
-639,1400,761
-1005,1562,557
-1273,1709,435
2226,1373,3599
5183,1816,6999
-230,1120,890
-719,1374,654
-389,1106,716
-357,1188,831
-307,1307,999
36,3263,3300
-284,941,656
203,896,1099
-788,1507,719
-484,1194,710
-103,1403,1300
-458,1087,629
-891,1650,759
-76,1576,1500
-614,1614,999
-181,2281,2100
-1032,1730,698
-796,1896,1099
541,1958,2499
-522,1722,1200
-45,2045,1999
-410,1510,1099
-325,2325,1999
228,2471,2699
-809,1788,978
-674,1295,621
-416,1155,738
2536,1163,3699
-392,1392,999
-660,1760,1099
-792,1792,999
-467,1156,689
-298,1598,1300
10036,1963,11999
-712,1408,696
380,1619,1999
-165,1031,865
10348,2451,12799
2270,1229,3499
-327,1270,943
-345,1191,845
-782,2982,2199
-1297,2076,779
-595,1895,1300
227,1172,1399
6387,3112,9499
